tissue_sample_id,communication_celltype,n_cells,dataset,donor,donor_ID,status,n_total_cells,n_tissue_samples_same_donor_status,fraction,meets_min_cells,coverage_status
"GSE134809::GSM3972015::Non-inflamed","B_cell::IgM-only",2,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.000663129973474801,FALSE,"low_cell_count"
"GSE134809::GSM3972015::Non-inflamed","B_cell::MZ",18,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.00596816976127321,FALSE,"low_cell_count"
"GSE134809::GSM3972015::Non-inflamed","B_cell::Naïve B",742,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.246021220159151,TRUE,"adequate_cell_count"
"GSE134809::GSM3972015::Non-inflamed","Endothelial",14,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.00464190981432361,FALSE,"low_cell_count"
"GSE134809::GSM3972015::Non-inflamed","Epithelial",290,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.0961538461538462,TRUE,"adequate_cell_count"
"GSE134809::GSM3972015::Non-inflamed","Mast",2,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.000663129973474801,FALSE,"low_cell_count"
"GSE134809::GSM3972015::Non-inflamed","Mesenchymal_stromal",39,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.0129310344827586,TRUE,"adequate_cell_count"
"GSE134809::GSM3972015::Non-inflamed","Myeloid",108,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.0358090185676393,TRUE,"adequate_cell_count"
"GSE134809::GSM3972015::Non-inflamed","Plasma::Activated plasma",29,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.00961538461538462,TRUE,"adequate_cell_count"
"GSE134809::GSM3972015::Non-inflamed","Plasma::IgA plasma",97,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.0321618037135279,TRUE,"adequate_cell_count"
"GSE134809::GSM3972015::Non-inflamed","Plasma::IgG plasma",17,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.00563660477453581,FALSE,"low_cell_count"
"GSE134809::GSM3972015::Non-inflamed","Plasma::Transitional B",0,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0,FALSE,"absent_zero_cells"
