dataset,sender,receiver,contrast,reference,target,n_reference_donors,n_target_donors,n_paired_donors,n_reference_only,n_target_only,both_groups_present
"GSE134809","B_cell::IgM-only","Mesenchymal_stromal","Stricture_minus_Inflamed","Inflamed","Stricture",3,0,0,3,0,FALSE
"GSE134809","B_cell::IgM-only","Myeloid","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::IgM-only","Myeloid","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::IgM-only","Myeloid","Inflamed_minus_Control","Control","Inflamed",0,3,0,0,3,FALSE
"GSE134809","B_cell::IgM-only","Myeloid","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,3,0,0,3,FALSE
"GSE134809","B_cell::IgM-only","Myeloid","Stricture_minus_Inflamed","Inflamed","Stricture",3,0,0,3,0,FALSE
"GSE134809","B_cell::IgM-only","T_NK","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::IgM-only","T_NK","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::IgM-only","T_NK","Inflamed_minus_Control","Control","Inflamed",0,3,0,0,3,FALSE
"GSE134809","B_cell::IgM-only","T_NK","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,3,0,0,3,FALSE
"GSE134809","B_cell::IgM-only","T_NK","Stricture_minus_Inflamed","Inflamed","Stricture",3,0,0,3,0,FALSE
"GSE134809","B_cell::MZ","Endothelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::MZ","Endothelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::MZ","Endothelial","Inflamed_minus_Control","Control","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::MZ","Endothelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::MZ","Endothelial","Stricture_minus_Inflamed","Inflamed","Stricture",2,0,0,2,0,FALSE
"GSE134809","B_cell::MZ","Epithelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::MZ","Epithelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::MZ","Epithelial","Inflamed_minus_Control","Control","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::MZ","Epithelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::MZ","Epithelial","Stricture_minus_Inflamed","Inflamed","Stricture",2,0,0,2,0,FALSE
"GSE134809","B_cell::MZ","Mast","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::MZ","Mast","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::MZ","Mast","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::MZ","Mast","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::MZ","Mast","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::MZ","Mesenchymal_stromal","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::MZ","Mesenchymal_stromal","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::MZ","Mesenchymal_stromal","Inflamed_minus_Control","Control","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::MZ","Mesenchymal_stromal","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::MZ","Mesenchymal_stromal","Stricture_minus_Inflamed","Inflamed","Stricture",2,0,0,2,0,FALSE
"GSE134809","B_cell::MZ","Myeloid","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::MZ","Myeloid","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::MZ","Myeloid","Inflamed_minus_Control","Control","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::MZ","Myeloid","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::MZ","Myeloid","Stricture_minus_Inflamed","Inflamed","Stricture",2,0,0,2,0,FALSE
"GSE134809","B_cell::MZ","T_NK","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::MZ","T_NK","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::MZ","T_NK","Inflamed_minus_Control","Control","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::MZ","T_NK","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::MZ","T_NK","Stricture_minus_Inflamed","Inflamed","Stricture",2,0,0,2,0,FALSE
"GSE134809","B_cell::Naïve B","Endothelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Naïve B","Endothelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Naïve B","Endothelial","Inflamed_minus_Control","Control","Inflamed",0,9,0,0,9,FALSE
"GSE134809","B_cell::Naïve B","Endothelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",4,9,0,4,9,TRUE
"GSE134809","B_cell::Naïve B","Endothelial","Stricture_minus_Inflamed","Inflamed","Stricture",9,0,0,9,0,FALSE
